"Number of threads","time"
1,0.0225205
2,0.0257967
3,0.0287296
4,0.03039
5,0.0316288
6,0.0318472
7,0.032894
8,0.033237
9,0.0444681
10,0.0542521
11,0.0596846
12,0.057319
